statistic_name,stage_t,mean,bootstrap_ci_low,bootstrap_ci_high,bootstrap_seed,B_boot
Wealth_Paths_ETO,11,1.0821016269781631,1.0800140843451758,1.0841817604731392,20260913,2000
Wealth_Paths_ETO,12,1.088984947775481,1.086767846249096,1.0912129891269848,20260913,2000
Wealth_Paths_ETO,13,1.09548950481244,1.093170835678101,1.0977708426229538,20260913,2000
Wealth_Paths_ETO,14,1.1023794115282561,1.0999017809297456,1.104732206640005,20260913,2000
Wealth_Paths_ETO,15,1.1089172907247784,1.1062604369276183,1.1113876468324237,20260913,2000
Wealth_Paths_ETO,16,1.1156957731280495,1.1129338533807027,1.1182224919655077,20260913,2000
Wealth_Paths_ETO,17,1.1221989776213255,1.1194172846097112,1.124857470418785,20260913,2000
Wealth_Paths_ETO,18,1.128203944351312,1.1253236602660492,1.130974934315862,20260913,2000
Wealth_Paths_ETO,19,1.133798598503371,1.1308947794867348,1.1367013918520834,20260913,2000
Wealth_Paths_ETO,20,1.1394187788636956,1.1363846290036637,1.1424227705631012,20260913,2000
Wealth_Paths_ETO,21,1.1452238990476487,1.142172596368074,1.1482671838479277,20260913,2000
Wealth_Paths_ETO,22,1.1507884609981391,1.1476932134178024,1.1539753880782748,20260913,2000
Wealth_Paths_ETO,23,1.1563756090937254,1.1531865230224898,1.1595636696693536,20260913,2000
Wealth_Paths_ETO,24,1.1615583315619558,1.158314568951402,1.1648161616873667,20260913,2000
Wealth_Paths_ETO,25,1.1665157863813191,1.1632492132256456,1.1697594129109754,20260913,2000
Wealth_Paths_ETO,26,1.1715283943330301,1.1682014410932848,1.1747203507378954,20260913,2000
Wealth_Paths_ETO,27,1.1763570492583542,1.172946280498319,1.179653528384476,20260913,2000
Wealth_Paths_ETO,28,1.1808183563060266,1.1773021066159717,1.1841379164026071,20260913,2000
Wealth_Paths_ETO,29,1.1852510212712526,1.181713686508548,1.188655002555111,20260913,2000
Wealth_Paths_ETO,30,1.1893784306757975,1.1858653151614515,1.1928229413224145,20260913,2000
Wealth_Paths_ETO,31,1.193061041776767,1.1894718488590992,1.1964977692315946,20260913,2000
Wealth_Paths_ETO,32,1.1967187849892509,1.1931410755031309,1.2002095126256629,20260913,2000
Wealth_Paths_ETO,33,1.2001993739850392,1.1966221749118273,1.2037476740607282,20260913,2000
Wealth_Paths_ETO,34,1.203784912526728,1.2000947800505202,1.207392475640754,20260913,2000
Wealth_Paths_ETO,35,1.207172923317464,1.203425121038301,1.2107991940537874,20260913,2000
Wealth_Paths_ETO,36,1.210100789678701,1.2063662651525702,1.2137184915523496,20260913,2000
Wealth_Paths_ETO,37,1.213109044512151,1.2094207482773567,1.2167123038532808,20260913,2000
Wealth_Paths_ETO,38,1.2156811987136122,1.2119896519662643,1.2193076872153172,20260913,2000
Wealth_Paths_ETO,39,1.2184511884297247,1.2147557090424626,1.2220600048485308,20260913,2000
Wealth_Paths_ETO,40,1.220791331759924,1.217068376408642,1.2243952378611132,20260913,2000
Wealth_Paths_ETO,41,1.2229753473516853,1.219255593965627,1.2266764236469787,20260913,2000
