stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,delta_paired_bootstrap_ci_low,delta_paired_bootstrap_ci_high,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p90,regret_pop_ieo_p90,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo
28,8.30475748076779e-05,7.55737034988739e-05,9.87226498946467e-06,5.25668849166122e-06,7.47387130880403e-06,-7.27583965165139e-06,2.51972757331007e-05,1.12685126416845e-05,2.20271427661542e-05,7.91812358822882e-05,0.000125591137858122,0.000318603660371713,0.000270174910501119,0.00153941242358494,0.00120209324280275,0.0105144732209331,0.00494237225118892,0.0633039149263697,0.0326990211037002
29,7.06900255605104e-05,6.38278725278644e-05,7.65589264000677e-06,4.00380203417955e-06,6.86215303264597e-06,-3.7111944632513e-06,1.93061401347139e-05,9.42973796783224e-06,1.905855625971e-05,6.4317710433205e-05,0.000108522946967261,0.000263994486718434,0.000256369325226587,0.0014142172374616,0.000834094904328583,0.00834610688365083,0.00268059330462989,0.059033129621,0.0209986107829277
30,6.13327441916749e-05,5.7947230198013e-05,6.60498148693524e-06,3.78339475833131e-06,3.38551399366188e-06,-5.72143330612919e-06,1.54015687063217e-05,8.8270601515436e-06,1.76694026739163e-05,5.98178524753511e-05,0.000103352152422856,0.000243334572509317,0.00023787961385883,0.00137945284079195,0.000839584591201798,0.00792695755933599,0.00298349709815848,0.0646225573615534,0.025743224378141
31,6.29203112220493e-05,5.48852578652313e-05,7.61363304438118e-06,3.93242097299334e-06,8.03505335681802e-06,-1.23140263554385e-06,1.93007250525859e-05,8.55002706176962e-06,1.6842619240848e-05,5.73525019683288e-05,8.60057518444743e-05,0.000202747555622816,0.000191785778525073,0.0011781773837771,0.000809337347679327,0.00817868918483323,0.00355930337009472,0.0649924406442474,0.0324249489620187
32,5.24294461122727e-05,4.86318644079019e-05,5.11060775797563e-06,2.82245974697636e-06,3.79758170437075e-06,-3.34769723684602e-06,1.1639237344075e-05,7.70258703335043e-06,1.5096368261975e-05,6.17890148533786e-05,8.92674864293587e-05,0.000236096948404757,0.000196712684479592,0.00103881032329843,0.000717324612713269,0.0048395212127877,0.00148685878697223,0.0461527020753216,0.0152868783160475
33,6.2366871779366e-05,4.93783378070226e-05,6.42221548271562e-06,3.55804883922661e-06,1.29885339723434e-05,4.00340734026887e-06,2.26562982366775e-05,7.0149367828835e-06,1.43371905672809e-05,6.42210349049681e-05,8.56308138486179e-05,0.000220851035023438,0.000193732292144916,0.001330593629366,0.000669939652401022,0.00569897509469688,0.00252123867434749,0.0456891209395433,0.0255298050351638
34,5.04536060403479e-05,4.15016717258371e-05,5.29499434069672e-06,2.70767769935034e-06,8.95193431451081e-06,1.47298640088514e-06,1.74215934553374e-05,6.45613408793688e-06,1.27275318514584e-05,5.68257525477763e-05,7.46240709745445e-05,0.000179960600647299,0.000156633362562083,0.00103620118250954,0.000587065219436367,0.00425345839362941,0.00255505140216478,0.0421521743185998,0.0307825118352295
35,3.4586034168864e-05,3.03096805916656e-05,3.49143218633844e-06,1.87376525018799e-06,4.2763535771984e-06,-9.76957345326249e-07,1.01076662834883e-05,5.59956022891144e-06,1.06785565532805e-05,3.75192600353058e-05,5.33170688673846e-05,0.000110706713654631,0.000115179487269005,0.000779772607334714,0.000386827356721054,0.0028815703238402,0.00175112706838538,0.0416580043518596,0.0288872570446502
36,4.05587680039246e-05,3.21879441348616e-05,4.80852734037982e-06,2.24437353094976e-06,8.37082386906297e-06,1.86856626144679e-06,1.60804781197051e-05,5.00475788491453e-06,9.2965439186868e-06,3.9360950780239e-05,5.8657675213605e-05,0.000141950588759243,0.000122800109661281,0.000770584887564166,0.000453753196047654,0.00499255979798034,0.0018137250299728,0.0615472318771769,0.0281739806427776
37,3.29800144264609e-05,2.75741639703134e-05,3.47443856877815e-06,1.80147450551318e-06,5.40585045614744e-06,3.79337040126589e-07,1.07872367070842e-05,4.45056322419709e-06,8.04041985724676e-06,3.71238174128808e-05,4.64172838295733e-05,0.000123764401377549,0.000113290870841376,0.000653729737613424,0.000389732458893081,0.00418278840288274,0.00103743932627634,0.063413986858762,0.0188118001944367
38,3.05585905929674e-05,2.79130845408823e-05,3.81283456738302e-06,2.29245066698555e-06,2.64550605208505e-06,-2.21682442575781e-06,8.29252289041063e-06,4.0168304034726e-06,7.21385274604762e-06,3.15969546883284e-05,4.19423497198147e-05,0.000101213376133128,8.96371859256285e-05,0.00050112816939961,0.000468332420538574,0.00436453465044145,0.00207959848797938,0.0714125646135966,0.0372513199846033
39,2.08640234082771e-05,1.92786309371458e-05,1.96217644626813e-06,1.20397271366219e-06,1.58539247113129e-06,-1.15675966947702e-06,4.50740479586505e-06,3.46377957764226e-06,6.01212235367031e-06,2.87220348168312e-05,3.54529161169046e-05,7.91849265548023e-05,7.45281521238891e-05,0.000350703602527322,0.00027516087136015,0.00148002499426956,0.000779174405926401,0.0354683505982458,0.0202082401096516
40,2.15830321570974e-05,1.86550660160049e-05,1.94315051841535e-06,1.36933272456617e-06,2.92796614109245e-06,2.34074357444445e-07,5.86796879399698e-06,3.1685853428983e-06,5.25205913414289e-06,2.7758724908458e-05,2.77384337497357e-05,9.11988410043576e-05,7.43139803046347e-05,0.000457860132666285,0.000290891825400695,0.00148185286021774,0.00139876709951127,0.0343291167207579,0.0374902747144183
41,1.71489667943018e-05,1.46862297255123e-05,1.59301623017443e-06,1.01123085884319e-06,2.4627370687895e-06,4.71848475225112e-07,4.69270222287548e-06,2.66627462192963e-06,3.91748795288358e-06,2.09673691894441e-05,2.50965260657379e-05,6.80537668641943e-05,5.11137090282784e-05,0.000375493801178357,0.000241164132363675,0.00123189155504377,0.00085200670001474,0.0359173695366037,0.0290069921259189
42,1.3621394482159e-05,1.14350083334274e-05,1.37572949380038e-06,8.16723689163029e-07,2.18638614873156e-06,3.19455598727557e-07,4.29337880560835e-06,2.36001964028853e-06,3.24290363324668e-06,1.7791546688637e-05,1.82013752506223e-05,4.63514028607209e-05,4.16771563462032e-05,0.000269043851454075,0.00018942861808939,0.00129288250807249,0.00053534700423857,0.0474577881789516,0.0234082472276655
43,1.05298507151338e-05,8.65940321136815e-06,9.24279148365465e-07,6.06092827706566e-07,1.87044750376568e-06,5.85123823583896e-07,3.17342711384517e-06,2.00759839838444e-06,2.5990718080761e-06,1.57814543070434e-05,1.48632771573101e-05,4.1412995854377e-05,3.14971067303095e-05,0.000175656431590081,0.00012801322736973,0.000936570603599501,0.000487064241596483,0.0444721691188572,0.0281234300856357
44,7.42843483571518e-06,6.01735822864223e-06,6.29953905846757e-07,4.29023421667173e-07,1.41107660707295e-06,4.77164128124808e-07,2.37551881188591e-06,1.7215104378723e-06,1.8925193360106e-06,1.14616690361727e-05,1.04753850135025e-05,2.56839867124716e-05,2.19798176495603e-05,0.000113711478193592,7.92171300910369e-05,0.000529365169115493,0.000387965805191841,0.0356310030863001,0.0322372202593116
45,6.5993105495477e-06,4.50488701003929e-06,5.54546103730948e-07,3.34189479962515e-07,2.09442353950841e-06,1.42774656428849e-06,2.8563686518223e-06,1.46950422069691e-06,1.33181606897401e-06,1.13591009742897e-05,7.50139329711541e-06,2.49935993798234e-05,1.50474792362661e-05,0.000108410491312525,6.61943929130532e-05,0.000614887768479865,0.000296281396901501,0.0465872733116043,0.0328844426332146
46,4.76227359859666e-06,3.01165708211228e-06,2.8639814219158e-07,1.8487271990791e-07,1.75061651648438e-06,1.34486790199885e-06,2.18147592995571e-06,1.28998629290081e-06,9.10162104955916e-07,9.63782541767863e-06,5.82863876492775e-06,1.94116341620635e-05,1.18936735378937e-05,5.94439197496947e-05,4.18503512477804e-05,0.000206510639438929,0.000122447287121047,0.0216819377513067,0.0203288893427346
47,4.25307439447767e-06,2.15821968462645e-06,2.19629226995768e-07,1.78994376101018e-07,2.09485470985122e-06,1.7640133489655e-06,2.43639355602787e-06,1.18777565909086e-06,5.12211209500211e-07,9.95057504330944e-06,3.97351557778627e-06,1.78630138029065e-05,8.33792650211805e-06,5.5217321170493e-05,3.11437130476494e-05,0.000157566315740763,0.000185613359766309,0.0185238137317034,0.0430014981997617
48,3.33675934925502e-06,1.04289845791153e-06,1.3926644199062e-07,6.53814411315588e-08,2.2938608913435e-06,2.05783112392392e-06,2.52213066966845e-06,1.14380634195513e-06,2.58066074488025e-07,8.36830297397939e-06,2.06288040380693e-06,1.318163145373e-05,4.40429126855791e-06,2.93720914985614e-05,1.46623724556813e-05,7.4449871763273e-05,4.09616087650081e-05,0.01115601455944,0.019638349474136
49,2.73663979225701e-06,4.29600828795731e-07,8.62454767580355e-08,2.49709244079538e-08,2.30703896346128e-06,2.1643756322737e-06,2.45348687676808e-06,1.04629005362908e-06,9.48704635514447e-08,8.05260163243476e-06,9.88891138316163e-07,1.05513853218843e-05,2.12901945778163e-06,1.73895755618203e-05,6.0872744750671e-06,3.96531910931022e-05,1.73985173144358e-05,0.00724486854376964,0.0202496319236718
