Date,Food,Food_Return（小数）,Clths,Clths_Return（小数）,Hlth,Hlth_Return（小数）,Chems,Chems_Return（小数）,Cnstr,Cnstr_Return（小数）,Steel,Steel_Return（小数）,Autos,Autos_Return（小数）,Oil,Oil_Return（小数）,Util,Util_Return（小数）,Telcm,Telcm_Return（小数）,Servs,Servs_Return（小数）,BusEq,BusEq_Return（小数）,Paper,Paper_Return（小数）,Trans,Trans_Return（小数）,Whlsl,Whlsl_Return（小数）,Rtail,Rtail_Return（小数）,Fin,Fin_Return（小数）,Mines,Mines_Return（小数）,ElcEq,ElcEq_Return（小数）,Meals,Meals_Return（小数）
2017-02-22,-0.31,-0.0031,1.13,0.0113,-0.3,-0.003,0.78,0.0078000000000000005,-0.15,-0.0015,-0.98,-0.0098,-0.3,-0.003,-1.75,-0.0175,0.02,0.0002,0.11,0.0011,0.22,0.0022,-0.03,-0.0003,0.28,0.0028000000000000004,-0.73,-0.0073,-0.4,-0.004,-0.1,-0.001,0.02,0.0002,-1.69,-0.0169,-0.34,-0.0034000000000000002,-0.87,-0.0087
2017-02-23,0.08,0.0008,-1.28,-0.0128,0.6,0.006,-0.64,-0.0064,-1.34,-0.0134,-4.09,-0.0409,-1.98,-0.019799999999999998,0.42,0.0042,0.87,0.0087,-0.07,-0.0007000000000000001,-0.03,-0.0003,-0.42,-0.0042,0.2,0.002,-1.08,-0.0108,-0.71,-0.0070999999999999995,-0.76,-0.0076,0.15,0.0015,-2.72,-0.027200000000000002,-1.03,-0.0103,-0.17,-0.0017000000000000001
2017-02-24,0.26,0.0026,0.91,0.0091,0.69,0.0069,0.09,0.0009,0.55,0.0055000000000000005,-0.34,-0.0034000000000000002,-0.38,-0.0038,-0.98,-0.0098,0.89,0.0089,0.53,0.0053,0.17,0.0017000000000000001,0.22,0.0022,0.08,0.0008,0.96,0.0096,0.37,0.0037,0.8,0.008,-0.63,-0.0063,-0.58,-0.0058,-0.1,-0.001,0.14,0.0014000000000000002
2017-02-27,-1.16,-0.0116,0.04,0.0004,0.78,0.0078000000000000005,-0.36,-0.0036,1.57,0.015700000000000002,2.2,0.022000000000000002,0.35,0.0034999999999999996,0.84,0.0084,-0.23,-0.0023,-0.53,-0.0053,-0.09,-0.0009,0.25,0.0025,0.13,0.0013,0.37,0.0037,0.43,0.0043,0.07,0.0007000000000000001,0.47,0.004699999999999999,-0.09,-0.0009,0.39,0.0039000000000000003,-0.44,-0.0044
2017-02-28,0.58,0.0058,-1.42,-0.014199999999999999,-0.25,-0.0025,-0.09,-0.0009,-1.06,-0.0106,-0.75,-0.0075,-0.88,-0.0088,-0.23,-0.0023,0.72,0.0072,-0.54,-0.0054,-0.52,-0.0052,-0.56,-0.005600000000000001,-0.47,-0.004699999999999999,-0.54,-0.0054,-1.04,-0.0104,-1.3,-0.013000000000000001,-0.45,-0.0045000000000000005,-0.03,-0.0003,-1.11,-0.0111,-0.1,-0.001
2017-03-01,0.61,0.0060999999999999995,0.98,0.0098,1.06,0.0106,1.73,0.0173,2.71,0.0271,3.03,0.030299999999999997,1.87,0.0187,2.1,0.021,-0.32,-0.0032,0.72,0.0072,1.4,0.013999999999999999,1.34,0.0134,1.55,0.0155,1.83,0.0183,1.3,0.013000000000000001,0.69,0.0069,2.56,0.0256,2.77,0.0277,1.93,0.019299999999999998,0.73,0.0073
2017-03-02,0.35,0.0034999999999999996,0.33,0.0033,-0.28,-0.0028000000000000004,-0.84,-0.0084,-0.93,-0.009300000000000001,-3.62,-0.0362,-0.2,-0.002,-1.01,-0.0101,0.55,0.0055000000000000005,-0.33,-0.0033,-0.73,-0.0073,-0.74,-0.0074,-0.29,-0.0029,-1.58,-0.0158,-0.89,-0.0089,0.18,0.0018,-1.47,-0.0147,-3.07,-0.030699999999999998,-1.02,-0.0102,-0.3,-0.003
2017-03-03,0.1,0.001,-1.42,-0.014199999999999999,0.48,0.0048,0.03,0.0003,0.05,0.0005,-0.28,-0.0028000000000000004,0.41,0.0040999999999999995,-0.38,-0.0038,-0.29,-0.0029,0.1,0.001,0.09,0.0009,0.2,0.002,-0.13,-0.0013,0.67,0.0067,0.34,0.0034000000000000002,-0.69,-0.0069,0.43,0.0043,0.52,0.0052,-0.13,-0.0013,-0.31,-0.0031
2017-03-06,-0.59,-0.0059,-0.05,-0.0005,-0.48,-0.0048,-0.38,-0.0038,-0.4,-0.004,-0.97,-0.0097,-0.84,-0.0084,0.34,0.0034000000000000002,-0.15,-0.0015,-0.15,-0.0015,-0.19,-0.0019,-0.37,-0.0037,-0.91,-0.0091,-0.59,-0.0059,-0.69,-0.0069,-0.66,-0.0066,-0.56,-0.005600000000000001,-1.74,-0.0174,-0.37,-0.0037,-0.35,-0.0034999999999999996
2017-03-07,-0.43,-0.0043,-0.56,-0.005600000000000001,-0.81,-0.008100000000000001,-0.24,-0.0024,-0.13,-0.0013,-2.9,-0.028999999999999998,-1.0,-0.01,-0.93,-0.009300000000000001,-0.11,-0.0011,-0.43,-0.0043,0.06,0.0006,0.13,0.0013,-0.5,-0.005,-1.11,-0.0111,-0.82,-0.008199999999999999,-0.48,-0.0048,-0.31,-0.0031,-1.25,-0.0125,-0.17,-0.0017000000000000001,-0.54,-0.0054
