stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_minus_ieo,regret_pop_eto_median,regret_pop_ieo_median,regret_pop_eto_p95,regret_pop_ieo_p95,regret_pop_eto_p99,regret_pop_ieo_p99,max_regret_eto,max_regret_ieo,max_contribution_to_mean_eto,max_contribution_to_mean_ieo,delta_pop_mean,delta_pop_se,delta_pop_bootstrap_ci_low,delta_pop_bootstrap_ci_high,method_with_lower_mean_regret
20,7.48380400553739e-06,6.61078837383241e-06,9.92937248905335e-09,1.41460512415333e-07,8.7301563170498e-07,7.39600148018402e-06,4.7764004714712e-06,8.26540128378509e-06,1.84513954669523e-05,8.86697279512777e-06,3.38093608776237e-05,1.18764424469341e-05,6.6538076269276e-05,0.000793476314862501,0.00503253715794736,8.7301563170498e-07,1.419680520871e-07,5.82286490813344e-07,1.13867465841414e-06,IEO
21,6.97686798955104e-06,6.71739488587525e-06,8.59330690904086e-09,1.523801913405e-07,2.59473103675803e-07,6.90678727864632e-06,4.75298565033736e-06,7.71211505084931e-06,1.88331284554105e-05,8.24814278314869e-06,3.4003770324292e-05,9.53884362347918e-06,7.22121809646264e-05,0.000683604995663176,0.00537501384029603,2.59473103675803e-07,1.52568831207434e-07,-3.7255750340643e-08,5.42686539719866e-07,IEO
22,6.52718469720884e-06,6.21848543692458e-06,8.42815591403039e-09,1.38745224775713e-07,3.08699260284248e-07,6.46460225564547e-06,4.37100245518957e-06,7.19552559815775e-06,1.75904480427956e-05,7.86727283281438e-06,2.91436442689622e-05,9.23498737039743e-06,8.82117819345515e-05,0.00070742500777912,0.00709270632128212,3.08699260284248e-07,1.38665840822148e-07,2.85174302675723e-08,5.66766492733979e-07,IEO
23,6.08399907080413e-06,5.66492870492801e-06,8.7030108506093e-09,1.29124242368768e-07,4.19070365876119e-07,6.00634266736665e-06,3.99678495598056e-06,6.79522816470532e-06,1.56098058299189e-05,7.44153543891791e-06,2.79836202411944e-05,9.2163562828884e-06,6.88239057840294e-05,0.000757425845700389,0.00607456063164205,4.19070365876119e-07,1.28911533548185e-07,1.55204596674551e-07,6.63348165414311e-07,IEO
24,5.64742578679948e-06,5.45925703368533e-06,7.60358171373374e-09,1.23005216335703e-07,1.88168753114147e-07,5.57207298514928e-06,3.85713077688232e-06,6.27186798135983e-06,1.597709526603e-05,6.82272533230552e-06,2.88764424442598e-05,8.03185681780106e-06,4.86375890611106e-05,0.000711107779103096,0.00445459782906368,1.88168753114147e-07,1.2319690082232e-07,-6.73778147222315e-08,4.22546584957369e-07,IEO
25,5.21936227034706e-06,5.24021777036372e-06,6.83714388964756e-09,1.21037045616698e-07,-2.08555000166661e-08,5.16351469170302e-06,3.64636400508302e-06,5.77528681576813e-06,1.47150604900148e-05,6.27523798956666e-06,2.77998585449706e-05,7.47800515089032e-06,6.61969432091416e-05,0.000716371537704459,0.00631623971655541,-2.08555000166661e-08,1.21176876038249e-07,-2.54811289689447e-07,2.03682191452063e-07,ETO
26,4.8153912226183e-06,4.64765117774985e-06,6.37905836792196e-09,1.09423621894686e-07,1.67740044868444e-07,4.75973189465805e-06,3.21676142151771e-06,5.34530640204542e-06,1.34331132595974e-05,5.75184548176768e-06,2.18406863408711e-05,7.38322554587681e-06,7.04625797925851e-05,0.000766627798713133,0.00758045054348285,1.67740044868444e-07,1.09167432789863e-07,-6.21127337041999e-08,3.7262882708059e-07,IEO
27,4.43875556709415e-06,4.21320628704072e-06,6.2509229991987e-09,9.01275167135868e-08,2.25549280053425e-07,4.37681587447208e-06,3.00538668500104e-06,4.9724316097894e-06,1.25145654178501e-05,5.33197398035907e-06,1.97509361064037e-05,6.68466508590324e-06,4.84056557801776e-05,0.000752988645675683,0.00574451527914348,2.25549280053425e-07,9.02589236629042e-08,4.27044138636493e-08,4.02047538470163e-07,IEO
28,4.06723495088579e-06,3.91697346802028e-06,5.73759448252185e-09,8.69642298925011e-08,1.50261482865508e-07,4.01576140757465e-06,2.68340106355365e-06,4.5184162027308e-06,1.08706445089169e-05,4.99529252574155e-06,1.95312545842905e-05,6.16025354084562e-06,4.09921889309141e-05,0.000757302395267822,0.00523263551126788,1.50261482865508e-07,8.68882871089682e-08,-1.57886534948324e-08,3.17419849804479e-07,IEO
29,3.72188877690748e-06,3.47007818385355e-06,5.20043182281061e-09,7.66440596939976e-08,2.51810593053933e-07,3.67636880357559e-06,2.43866369524223e-06,4.15281006702329e-06,9.84564134874083e-06,4.51173362269184e-06,1.6372103609383e-05,5.37107254178193e-06,5.6623934657564e-05,0.000721551994662877,0.00815888456361561,2.51810593053933e-07,7.65042750352852e-08,1.0204598109924e-07,3.96280965487387e-07,IEO
30,3.38496139806323e-06,3.27608358001387e-06,4.95280590536554e-09,6.97431763299144e-08,1.08877818049359e-07,3.33485941001107e-06,2.33973133797567e-06,3.792272445817e-06,8.90737554219401e-06,4.2043071493029e-06,1.56736370929867e-05,4.95426246865707e-06,3.29727576307699e-05,0.000731804869546185,0.00503234377656358,1.08877818049359e-07,6.9830146634315e-08,-2.95773613054867e-08,2.52024066371831e-07,IEO
31,3.05428094107646e-06,2.69060049936674e-06,4.58561756427195e-09,5.69628173736336e-08,3.63680441709715e-07,3.01073810838798e-06,1.92730679822158e-06,3.43156353790093e-06,7.40155970383577e-06,3.83989953873302e-06,1.2593238993094e-05,4.51049096505427e-06,3.59026415553549e-05,0.000738388355896393,0.00667186406227996,3.63680441709715e-07,5.67902588290619e-08,2.47552978642775e-07,4.73455450742879e-07,IEO
32,2.75159359663268e-06,2.61879227479231e-06,4.16101156019184e-09,5.46263129743508e-08,1.32801321840377e-07,2.71011243021191e-06,1.8706909203464e-06,3.10611307110268e-06,7.15016843288744e-06,3.45075211078249e-06,1.20955511473724e-05,4.01715917869025e-06,2.48305850542712e-05,0.000729969568108881,0.0047408466286698,1.32801321840377e-07,5.47012444755021e-08,2.13635589773209e-08,2.32453358678385e-07,IEO
33,2.46997589928021e-06,2.27962385420539e-06,3.77182317439921e-09,4.788111835217e-08,1.90352045074817e-07,2.43324874715159e-06,1.60389234521563e-06,2.80108554181698e-06,6.24484766886088e-06,3.05811005607266e-06,1.09614151593603e-05,3.62475512274589e-06,2.22305367347335e-05,0.000733763257326155,0.00487592211621298,1.90352045074817e-07,4.78664100984024e-08,9.40870982945239e-08,2.83897096508023e-07,IEO
34,2.18986386077602e-06,2.01178100221322e-06,3.39593582742281e-09,4.37035882244661e-08,1.78082858562804e-07,2.15821060957715e-06,1.42638614285172e-06,2.47955363742889e-06,5.48501418663908e-06,2.72442672588517e-06,9.78625199182643e-06,3.18666066490472e-06,2.44986033430823e-05,0.000727593327143054,0.00608878484192134,1.78082858562804e-07,4.36141671346326e-08,9.08199374111396e-08,2.62516110997585e-07,IEO
35,1.93646774769028e-06,1.7642309383678e-06,3.0247616301897e-09,3.85786147141985e-08,1.72236809322487e-07,1.90999946521971e-06,1.25130904023718e-06,2.19239841339765e-06,4.84930226055754e-06,2.3660082024666e-06,8.84377658466867e-06,2.85074478959252e-06,1.63888810344752e-05,0.000736068233770672,0.00464476636194737,1.72236809322487e-07,3.8661798027433e-08,9.56847784024208e-08,2.44220023459735e-07,IEO
36,1.69781699912081e-06,1.59538721352721e-06,2.96990829168588e-09,3.60368965717681e-08,1.02429785593603e-07,1.66908429298443e-06,1.13646535442575e-06,1.94743696766972e-06,4.29490097748262e-06,2.15795756326726e-06,8.40645975915761e-06,2.82011613137738e-06,1.85021706657266e-05,0.000830512397048014,0.00579864577979803,1.02429785593603e-07,3.60462745094274e-08,3.12313679814653e-08,1.73047082237518e-07,IEO
37,1.47901797324337e-06,1.36785234159668e-06,2.72748800940593e-09,3.06788327601741e-08,1.11165631646698e-07,1.45594305083454e-06,9.58587461112051e-07,1.70419711805164e-06,3.78475522154342e-06,1.87716969352713e-06,7.27441882641721e-06,2.43614524348232e-06,1.57411064346739e-05,0.000823568505438793,0.00575394944175754,1.11165631646698e-07,3.07214033502316e-08,5.24984118619866e-08,1.68462188963608e-07,IEO
38,1.26532743611468e-06,1.09737941798585e-06,2.28480859443805e-09,2.593567020591e-08,1.67948018128824e-07,1.24176640032455e-06,7.76783783729892e-07,1.45302074485936e-06,3.06645088332972e-06,1.61638639619707e-06,5.70227642785062e-06,1.88032322346146e-06,1.60907324683382e-05,0.000743018435305248,0.0073314353288452,1.67948018128824e-07,2.59759686295012e-08,1.19643916317884e-07,2.182045398635e-07,IEO
39,1.08138638264565e-06,9.29764507797679e-07,2.16104024018092e-09,2.15585808842133e-08,1.51621874847969e-07,1.06083090609931e-06,6.46814833440859e-07,1.25845491307684e-06,2.44888114699635e-06,1.40729222292448e-06,5.38035913363019e-06,1.69010401388056e-06,1.15134018557747e-05,0.000781452421171454,0.00619156881081983,1.51621874847969e-07,2.15324138354557e-08,1.08803276776927e-07,1.91743231028442e-07,IEO
40,9.0442855338959e-07,7.30888672260417e-07,1.85594339727962e-09,1.65128051077551e-08,1.73539881129172e-07,8.88805935742974e-07,5.14903026485523e-07,1.05638438537993e-06,1.9438760532803e-06,1.18123599982945e-06,3.91951774842937e-06,1.42110491112922e-06,1.06242626834557e-05,0.000785636911729095,0.00726804442774991,1.73539881129172e-07,1.64826247486665e-08,1.39264531576125e-07,2.04755291437259e-07,IEO
41,7.49169506911186e-07,5.72191171663052e-07,1.80622301534096e-09,1.27750508759291e-08,1.76978335248134e-07,7.31832688482705e-07,3.91706293826719e-07,9.03404662581066e-07,1.61190396488976e-06,1.02156964565953e-06,2.81971018895883e-06,1.47817834645092e-06,7.16239978400978e-06,0.000986544655658386,0.00625874719736809,1.76978335248134e-07,1.27562462455357e-08,1.51721857393625e-07,2.00321648709911e-07,IEO
42,6.11392050253328e-07,4.56726331932006e-07,1.79456396215136e-09,1.03785111637428e-08,1.54665718321322e-07,5.94812232975413e-07,3.13129997877403e-07,7.5442370181858e-07,1.23974305048327e-06,8.56041460949374e-07,2.45401434439413e-06,1.47798865243595e-06,6.06756244744889e-06,0.00120870777745929,0.00664244868670304,1.54665718321322e-07,1.038863882042e-08,1.34566782995411e-07,1.74376634787633e-07,IEO
43,4.8252587160518e-07,3.30141709547377e-07,1.39408314750245e-09,6.42663081770494e-09,1.52384162057803e-07,4.69300094301923e-07,2.43554738892673e-07,6.04270758251459e-07,8.70422934993231e-07,6.90728894575866e-07,1.47490605419991e-06,8.38525334345785e-07,3.10023775441093e-06,0.000868891580420683,0.00469531365585606,1.52384162057803e-07,6.42539838856039e-09,1.39412324993533e-07,1.64356591773674e-07,IEO
44,3.76862529014218e-07,2.35407248054965e-07,1.3417921040668e-09,5.8770077456493e-09,1.41455280959253e-07,3.64729864834816e-07,1.71853876299283e-07,4.88721582526875e-07,5.91757529827895e-07,5.77483116539892e-07,1.07435170159273e-06,7.63513544704199e-07,7.47409310511608e-06,0.00101298681338971,0.0158748151700303,1.41455280959253e-07,5.9283869644008e-09,1.29436849183482e-07,1.52589191416414e-07,IEO
45,2.84103471385626e-07,1.52583496886879e-07,1.18202412400914e-09,3.16459353297356e-09,1.31519974498747e-07,2.72592449434727e-07,1.20042663850032e-07,3.82417506831304e-07,3.68549403212065e-07,4.59424092772501e-07,6.25693847238779e-07,6.53574986314168e-07,3.51887165564542e-06,0.00115024111308208,0.011530970673238,1.31519974498747e-07,3.22534936948749e-09,1.24967251315465e-07,1.37557816537584e-07,IEO
46,2.06097821773708e-07,9.94040176717967e-08,1.02245838997887e-09,1.55780155925457e-09,1.06693804101911e-07,1.96060001611216e-07,8.30599218611646e-08,2.92310175741856e-07,2.26506819078414e-07,3.56157293509977e-07,3.67924069570983e-07,5.28375138556733e-07,8.35388549542584e-07,0.00128185522294573,0.00420198584075744,1.06693804101911e-07,1.6787123017398e-09,1.03333501379093e-07,1.09875408284384e-07,IEO
47,1.48872314616541e-07,7.04716013629031e-08,9.72764693571625e-10,8.87140829139476e-10,7.84007132536374e-08,1.39995447973023e-07,6.31752957721194e-08,2.34466326653958e-07,1.39087143860652e-07,2.8702128532164e-07,2.02788986422158e-07,3.77933111836842e-07,6.5117137291644e-07,0.00126931966098031,0.00462009774379288,7.84007132536374e-08,1.09152178492856e-09,7.62015478252264e-08,8.05106522576566e-08,IEO
48,1.06763211174162e-07,5.58925185589745e-08,8.73562450970208e-10,5.40215508782173e-10,5.08706926151873e-08,9.98554770414844e-08,5.22455999049121e-08,1.80364840154114e-07,9.99378797936157e-08,2.32427371208425e-07,1.41243241731608e-07,4.0473114460655e-07,2.28515244661046e-07,0.00189546164898654,0.00204423821427845,5.08706926151873e-08,8.57652279867171e-10,4.91749730391402e-08,5.25663865441675e-08,IEO
49,8.08597247228516e-08,3.9314725789881e-08,8.6558209175687e-10,4.17457811928324e-10,4.15449989329707e-08,7.33161709399013e-08,3.56917750487185e-08,1.5191425493853e-07,7.38068541181194e-08,2.08049839594434e-07,9.82898021692051e-08,3.41530212435417e-07,1.52955102089146e-07,0.00211186850812329,0.00194526477059283,4.15449989329707e-08,8.08121230685393e-10,4.00073366515828e-08,4.31472840474227e-08,IEO
