stage_t,regret_pop_eto_mean,regret_pop_ieo_mean,regret_pop_eto_se,regret_pop_ieo_se,regret_pop_eto_ci_low,regret_pop_eto_ci_high,regret_pop_ieo_ci_low,regret_pop_ieo_ci_high,old_proxy_regret_eto_mean,old_proxy_regret_ieo_mean,difference_pop_eto_minus_ieo,difference_proxy_eto_minus_ieo
30,5.512003291230488e-07,7.631351549212374e-07,4.4501749447939226e-09,1.351468966454715e-08,5.424779862312528e-07,5.599226720148449e-07,7.366463631787249e-07,7.896239466637498e-07,0.004447324597048606,0.001740561834726269,-2.1193482579818853e-07,0.002706762762322337
31,4.970802407706681e-07,6.538427767430956e-07,4.1386883632947394e-09,1.2288671946075854e-08,4.889684115786104e-07,5.051920699627259e-07,6.297569797287869e-07,6.779285737574043e-07,0.0040103729642942555,0.0013170140706731883,-1.5676253597242746e-07,0.002693358893621067
32,4.5454037431431876e-07,5.971130269509004e-07,3.7186567005360422e-09,1.050573478008088e-08,4.472518071812681e-07,4.618289414473694e-07,5.765217867819418e-07,6.177042671198589e-07,0.003587259336629197,0.0012478941140265827,-1.425726526365816e-07,0.0023393652226026142
33,4.20419199838275e-07,5.369901247161077e-07,3.4202018027321445e-09,9.143809287974803e-09,4.1371560430492e-07,4.2712279537163e-07,5.19068258511677e-07,5.549119909205383e-07,0.0032240830759185184,0.0010701524750649021,-1.1657092487783266e-07,0.002153930600853616
34,3.725813724423064e-07,4.6003133297996094e-07,3.0671678192020814e-09,8.397006792380248e-09,3.665697235166703e-07,3.785930213679425e-07,4.4357319966689567e-07,4.764894662930262e-07,0.0028331663291788177,0.0009236661080663936,-8.744996053765455e-08,0.0019095002211124241
35,3.3820481483778593e-07,4.124324954574045e-07,2.691541835812551e-09,7.507048363397709e-09,3.329293928395933e-07,3.4348023683597854e-07,3.97718680665145e-07,4.2714631024966404e-07,0.002495924736032853,0.0007946050643894789,-7.422768061961858e-08,0.0017013196716433743
36,3.0413829992887533e-07,3.649292391093112e-07,2.6806889813476602e-09,6.810160426079529e-09,2.988841495254339e-07,3.0939245033231674e-07,3.515813246741953e-07,3.782771535444271e-07,0.002186340600620237,0.000712130010857394,-6.079093918043588e-08,0.0014742105897628428
37,2.759336894836089e-07,3.1475421959540316e-07,2.4244058005526975e-09,5.610509106925254e-09,2.711818541145256e-07,2.806855248526922e-07,3.037576217458297e-07,3.2575081744497665e-07,0.0018766696250759945,0.0006138125869383555,-3.882053011179426e-08,0.001262857038137639
38,2.3988753177260634e-07,2.5830407822954233e-07,2.0651669270506697e-09,4.517393856476374e-09,2.35839804595587e-07,2.4393525894962563e-07,2.4944998627084863e-07,2.67158170188236e-07,0.0015961726860945129,0.0005171980270174185,-1.8416546456935993e-08,0.0010789746590770945
39,2.181898306383658e-07,2.2816406685101679e-07,1.947022543907427e-09,3.741920470435008e-09,2.1437366645230722e-07,2.2200599482442436e-07,2.2082990272896417e-07,2.354982309730694e-07,0.0013485326666313271,0.00042027940023145303,-9.974236212651e-09,0.0009282532663998741
40,1.907269401675496e-07,1.910149727012703e-07,1.6826326339248049e-09,3.2900546998527735e-09,1.87428980205057e-07,1.9402490013004222e-07,1.8456646548955887e-07,1.9746347991298173e-07,0.0011162673511094026,0.0003823005305206744,-2.8803253372069374e-10,0.0007339668205887282
41,1.69848160640575e-07,1.6504699211349062e-07,1.658515509953589e-09,2.6145758696934116e-09,1.6659747024106595e-07,1.7309885104008403e-07,1.5992242340889152e-07,1.7017156081808971e-07,0.0009004175907579747,0.00035115789314630366,4.801168527084375e-09,0.000549259697611671
42,1.5224164887405085e-07,1.3625455925476338e-07,1.6360532906193855e-09,2.0018847400424337e-09,1.4903498442443686e-07,1.5544831332366484e-07,1.3233086516428022e-07,1.4017825334524654e-07,0.0007195972020520265,0.0003140194521841479,1.5987089619287468e-08,0.0004055777498678786
43,1.310164460878963e-07,1.1009458966376959e-07,1.2862696380160315e-09,1.5395751646713949e-09,1.2849535759738487e-07,1.3353753457840774e-07,1.0707702234101365e-07,1.1311215698652552e-07,0.0005434171627123966,0.00026901199682508286,2.0921856424126722e-08,0.0002744051658873138
44,1.1739924125252543e-07,9.148691523072177e-08,1.2418012681538498e-09,1.1715826050126477e-09,1.1496531076694389e-07,1.1983317173810697e-07,8.919061332489698e-08,9.378321713654656e-08,0.000409118207765773,0.0002501745666583845,2.5912326021803666e-08,0.00015894364110738852
45,1.035738756838063e-07,7.303210673857828e-08,1.108403291968152e-09,9.635668567947046e-10,1.0140140523154872e-07,1.0574634613606389e-07,7.114351569926066e-08,7.492069777789591e-08,0.0002878138465273698,0.00020107348314130603,3.054176894522802e-08,8.674036338606375e-05
46,8.998727648463912e-08,5.821072599427824e-08,9.644245727753328e-10,7.185177969552802e-10,8.809700432199947e-08,9.187754864727877e-08,5.680243111224589e-08,5.96190208763106e-08,0.00018346091670163407,0.00014658257357563927,3.1776550490360875e-08,3.68783431259948e-05
47,8.295656186857384e-08,4.686686206865912e-08,9.325550895414104e-10,5.631273038657296e-10,8.112875389307268e-08,8.4784369844075e-08,4.576313255308229e-08,4.797059158423595e-08,0.00010682025915834468,9.100494132942966e-05,3.608969979991472e-08,1.5815317828915025e-05
48,7.696191026157038e-08,3.8332964251163703e-08,8.475710344099736e-10,4.708082641167793e-10,7.530067103412683e-08,7.862314948901393e-08,3.7410180053494816e-08,3.925574844883259e-08,5.083715820222438e-05,4.362024726150361e-05,3.862894601040668e-08,7.216910940720771e-06
49,7.287671369219408e-08,3.294918238339137e-08,8.501712772553588e-10,4.12067258915733e-10,7.121037798877358e-08,7.454304939561459e-08,3.214153055591653e-08,3.375683421086621e-08,1.7553702278676008e-05,1.3832308023529203e-05,3.9927531308802714e-08,3.721394255146805e-06
