stage,regret_eto_mean,regret_eto_ci_lower,regret_eto_ci_upper,regret_ieo_mean,regret_ieo_ci_lower,regret_ieo_ci_upper,regret_eto_minus_ieo_mean,regret_difference_ci_lower,regret_difference_ci_upper,true_regret_eto_mean,true_regret_ieo_mean,true_regret_eto_minus_ieo_mean,intercept_gap_mean,intercept_gap_ci_lower,intercept_gap_ci_upper,slope_gap_mean,slope_gap_ci_lower,slope_gap_ci_upper,intercept_angle_mean,intercept_angle_ci_lower,intercept_angle_ci_upper,slope_angle_mean,slope_angle_ci_lower,slope_angle_ci_upper
20,0.0100752942667823,0.010000048167318,0.0101505403662467,0.00430612304616415,0.00395489982111559,0.0046573462712127,0.00576917122061817,0.00539460913743368,0.00614373330380266,1.14677981137468e-06,1.72235703280884e-06,-5.75577221434164e-07,36.6343143253292,36.0105770240784,37.2580516265799,18.3349521566322,18.0470545170808,18.6228497961835,0.125399368537787,0.121919404058635,0.128879333016938,1.14763835524518,1.14157577618992,1.15370093430044
21,0.00933909226242793,0.00926582760067202,0.00941235692418384,0.00473565777764893,0.00435004742653053,0.00512126812876732,0.004603434484779,0.00419525993029991,0.00501160903925809,1.05859820348099e-06,1.63741934179984e-06,-5.78821138318852e-07,37.2266444504771,36.5818480066451,37.8714408943091,18.807460739873,18.5056566693669,19.1092648103791,0.123714547480297,0.120329483033583,0.12709961192701,1.15505689420436,1.14875622154077,1.16135756686795
22,0.00870043472600031,0.00863309003254103,0.00876777941945959,0.00404013144244956,0.00370152641276389,0.00437873647213524,0.00466030328355074,0.00430178122919577,0.0050188253379057,1.00544468656586e-06,1.52902013509988e-06,-5.2357544853402e-07,35.9554567780019,35.3552480719974,36.5556654840064,18.4536408387804,18.1708409996272,18.7364406779335,0.123846240218794,0.120495855213337,0.127196625224252,1.15405271776539,1.14833468573471,1.15977074979607
23,0.00807980759258876,0.00801664927189958,0.00814296591327795,0.003596509073556,0.00325069013820616,0.00394232800890584,0.00448329851903277,0.00412092752716856,0.00484566951089697,9.44307321812338e-07,1.42412352319083e-06,-4.79816201378489e-07,34.4949796460514,33.9012160996975,35.0887431924053,18.0649847468114,17.7774774912284,18.3524920023944,0.123461280909122,0.120123260473865,0.126799301344378,1.14374735235596,1.13764357686718,1.14985112784474
24,0.00756858660470463,0.00751095043684329,0.00762622277256597,0.00343431244260676,0.00311332430010419,0.00375530058510932,0.00413427416209787,0.00379725918429103,0.00447128913990471,8.79074666168939e-07,1.28753847451729e-06,-4.08463808348351e-07,33.7223666103819,33.1219909860922,34.3227422346716,17.9888250871949,17.6927884489035,18.2848617254863,0.128513320213639,0.124400969227018,0.13262567120026,1.1397620044393,1.133456149493,1.14606785938561
25,0.00691651512255966,0.00686092795336278,0.00697210229175655,0.00341349284184955,0.00308731690598154,0.00373966877771756,0.00350302228071012,0.00316039580578881,0.00384564875563143,8.11159697591464e-07,1.20397433098496e-06,-3.928146333935e-07,33.3322195011429,32.7359411370506,33.9284978652352,18.0658290760363,17.7691488687651,18.3625092833075,0.122510400809518,0.119161741964885,0.12585905965415,1.1423549065861,1.13622171910535,1.14848809406685
26,0.00635884187789495,0.00630886366846026,0.00640882008732964,0.0027752444057025,0.00249431958117882,0.00305616923022618,0.00358359747219245,0.00328910897736654,0.00387808596701836,7.48859092298885e-07,1.09465202619783e-06,-3.45792933898945e-07,31.7142268693254,31.1538489148298,32.274604823821,17.5232282517781,17.2362490012333,17.8102075023228,0.123836487065122,0.12045835879885,0.127214615331393,1.13064794530452,1.12414023406869,1.13715565654036
27,0.00594782733891667,0.00590149564176469,0.00599415903606864,0.00247015922346898,0.00226973275563828,0.00267058569129969,0.00347766811544768,0.00326230695700343,0.00369302927389194,6.98794164881697e-07,1.00369919350817e-06,-3.04905028626477e-07,30.7010075052596,30.1640165667603,31.2379984437589,17.3028227430253,17.0262358742889,17.5794096117617,0.125575339955556,0.12214324985508,0.129007430056033,1.12787635816039,1.12144834270977,1.13430437361101
28,0.0054056203959471,0.00536252307136538,0.00544871772052882,0.00228568472610347,0.00208406644767803,0.00248730300452891,0.00311993566984363,0.0029061903073372,0.00333368103235006,6.44671002159679e-07,9.40056946253494e-07,-2.95385944093815e-07,29.9002235181784,29.3687497585865,30.4316972777703,17.1540738162122,16.8745993050903,17.4335483273341,0.123301482601866,0.119941738770313,0.12666122643342,1.12525362427114,1.11884278800001,1.13166446054227
29,0.00493011941911756,0.00489133988124451,0.0049688989569906,0.00189510184827446,0.00174531909449107,0.00204488460205785,0.00303501757084309,0.00287273256500072,0.00319730257668547,5.98718088446911e-07,8.26613269391524e-07,-2.27895180944613e-07,28.4190948309869,27.9199464982117,28.9182431637622,16.7165284735548,16.4495335600447,16.983523387065,0.124994754383254,0.121648688231192,0.128340820535315,1.11543959892972,1.10896364302136,1.12191555483807
