statistic_name,stage_t,mean,se,median,p95,p99,bootstrap_ci_low,bootstrap_ci_high
slope_gap,13,59.4579457815554,0.342883435085039,57.2988566198448,88.3721629196357,105.550111496102,58.8274963876784,60.1047229600155
slope_gap,14,59.1413820848383,0.345501570087018,56.9388700800108,87.6926882598495,109.97961771758,58.4941683846112,59.8382877794976
slope_gap,15,59.286924785869,0.334087280626586,57.0265982717739,86.9464847004316,106.717234839694,58.629393032106,59.9449989249267
slope_gap,16,58.6152059326623,0.335150186728207,56.2350334177847,86.2726882062773,104.659115598368,57.9791107031838,59.2934149236769
slope_gap,17,58.4591714526302,0.330002576742754,56.2590194183528,85.9354258561868,103.034922985743,57.8212254401558,59.0819430021213
slope_gap,18,58.0123205841513,0.323088317324831,56.1030145058144,83.5835507048801,100.60068859039,57.3891455587183,58.65949354286
slope_gap,19,57.9695168766713,0.330814921085253,55.7989904946321,84.8801484647543,104.657674736171,57.3256564294464,58.6275712062224
slope_gap,20,56.552904744534,0.310487316197188,54.5303612797032,82.5880562302376,98.9118206718655,55.9383344256211,57.1750655895023
slope_gap,21,57.8357651151973,0.329474393114827,55.6246636012465,84.1366384127306,100.665726704765,57.1800600088767,58.4866160356503
slope_gap,22,56.850161034709,0.313595586069053,54.9327521145931,82.5682405646017,98.5964638884445,56.2249517984096,57.4610165043114
slope_gap,23,55.9796802480279,0.317177046746008,54.0511061175422,81.7474028956828,97.4804817529229,55.3863040741,56.6323268684228
slope_gap,24,56.2941057808667,0.3274867708751,54.3010776143276,83.4326957118697,103.404529627638,55.6272309388052,56.92552517336
slope_gap,25,56.4341936088738,0.327132114781282,54.3125124779206,83.3967665744408,105.564730866356,55.8118739918203,57.0915343519315
slope_gap,26,55.1498526236155,0.313966389571839,52.8692193375448,81.8232403205119,98.5780659178391,54.5604784520444,55.733076787911
slope_gap,27,54.2955128637062,0.302718896712216,52.5740361548898,78.8128501833961,94.8507946434624,53.6890847171675,54.8858223003658
slope_gap,28,54.0038653260469,0.306928718422816,51.9293070857417,79.65292455587,97.3055192350366,53.3901701039859,54.5669156338411
slope_gap,29,53.0501246773326,0.298294364696876,50.9407823468665,79.894829611229,91.1660748772616,52.4557135383734,53.6351485915136
slope_gap,30,52.8994638010732,0.2990646583318,50.8875156379149,77.5617285229598,94.2581631828742,52.3202814636726,53.4953178318166
slope_gap,31,50.9956663736779,0.2756464888544,49.4001293204354,74.3082981805651,87.2894051632728,50.4375061551338,51.5678819118945
slope_gap,32,51.3850639364523,0.293901311650398,49.3932778409647,75.6340369452611,91.9468922857245,50.8273869074606,51.9637902424427
slope_gap,33,50.5748203762096,0.279979812869824,48.5828984224107,73.9448303961914,90.2585187211922,50.0411837500134,51.1147551408504
slope_gap,34,49.439954772523,0.270913067645373,47.4344751241192,71.8415613043592,85.7052502805655,48.9142745383035,49.9782493940022
slope_gap,35,48.6696150504078,0.275300611184024,46.9060898845366,71.8744730562407,85.7652923794764,48.1346904380396,49.1764842788618
slope_gap,36,47.9771653252224,0.273442339101588,46.0755935510731,70.6052864699045,87.2846875534491,47.4536028509871,48.5432179992919
slope_gap,37,47.1044940825665,0.270261926958938,45.181126417711,68.9190719917782,85.7938976465186,46.5834984160678,47.6367758872826
slope_gap,38,45.2292954905605,0.257894190016203,43.414035355346,66.326221600425,81.4535679318588,44.7512768158457,45.7486848089498
slope_gap,39,44.0301575970493,0.249615493213464,42.4089982322194,64.8344086271239,78.8225711205123,43.5495951121987,44.5024354810405
slope_gap,40,42.1955652881682,0.237391797104596,40.6847768462045,61.2054686842706,75.1243289039179,41.7489488029959,42.6813468599672
slope_gap,41,40.2797301557376,0.230810923723865,38.6395950115641,59.0930114829405,73.1459468296317,39.8218410327479,40.7312485741105
slope_gap,42,38.7916579559111,0.224411893594038,37.2401368080722,56.8553223627545,71.1976838616655,38.3679442704461,39.248333360611
slope_gap,43,36.5170786587029,0.208491231824114,35.4328196335831,53.1177889409836,66.1776794127113,36.127078185857,36.9462896070917
slope_gap,44,33.8915085755249,0.19904036750495,32.5958868754278,50.3257682759886,61.9084552811214,33.4985565798554,34.2603337142941
slope_gap,45,30.5781661945324,0.172372497217323,29.4695925874695,44.8547668735391,54.156440246731,30.2389944627976,30.9190485511802
slope_gap,46,26.5024239384267,0.151882234934152,25.5167864986262,39.3516676083716,47.2677698137959,26.2110576223111,26.8014129347155
slope_gap,47,20.9984724684275,0.120956512878997,20.2980403038584,30.9405399485038,37.0344577390866,20.7580492952357,21.227643366122
slope_gap,48,12.9765700070744,0.079579606806457,12.4299235078226,19.6487691579949,23.5780161463548,12.8281375729569,13.1285717529473
slope_gap,49,0.305710338574558,0.00331259707415828,0.272744799469082,0.54750245830311,1.01004728734304,0.299234261865942,0.312244934953511
intercept_angle,0,2.52261337058276,0.0330422858912823,2.25498201738131,5.39500450491431,7.09768514033489,2.45900141492985,2.58807121382908
intercept_angle,1,2.40852919303378,0.0328254936185143,2.09251305168605,5.12871975286079,7.12718838329095,2.34630789965213,2.47420857025799
intercept_angle,2,2.46672761297471,0.031663899983455,2.1842864210315,5.18534042637273,6.70748768143669,2.40497598104699,2.52950795532389
intercept_angle,3,2.49818042683045,0.0323042987940819,2.18264882686798,5.3670286150543,7.0146120951613,2.43446819108671,2.56231189276635
intercept_angle,4,2.42057988890976,0.0314188128981562,2.16299293775549,5.10865757668187,6.89451294329067,2.35716080749897,2.48544307313435
intercept_angle,5,2.44144527420612,0.0326670136834631,2.09974102849652,5.17642983738937,7.17257716590972,2.37755584279725,2.50928953092324
intercept_angle,6,2.35902294031563,0.0314766312363609,2.03464414018997,5.07884603869783,6.72923201684144,2.29843705806129,2.42061551998054
intercept_angle,7,2.47904046620654,0.0317743324363083,2.21512698115538,5.27372409145861,6.78347527317234,2.41956154746842,2.54185146862911
intercept_angle,8,2.47015940005153,0.0322817208312467,2.21464802894488,5.15511529754224,7.21632208920388,2.4105576537745,2.53312227082576
intercept_angle,9,2.50101762356582,0.0329213254059782,2.16163691564902,5.32035710576322,7.13799267144222,2.43888489948025,2.5630128423835
intercept_angle,10,2.48878156115535,0.0329110791950284,2.17495840302206,5.23435467176405,7.02185568972245,2.42248701647624,2.55658907284494
intercept_angle,11,2.42375718499788,0.0323059433549105,2.11574371874582,5.33556127853628,6.79532556574327,2.35898687200204,2.48631572027644
intercept_angle,12,2.47681476406837,0.032253196793692,2.19536912280132,5.28800032440787,7.00475907793272,2.41907616696958,2.5406664242107
intercept_angle,13,2.51293496960856,0.0333205998249229,2.20942000119822,5.36585064389363,7.13971403250953,2.45106017681947,2.57937261218961
intercept_angle,14,2.50208930758396,0.0333879927417755,2.23205185157253,5.33827351127828,7.18948786987527,2.43721466200428,2.56832755371572
intercept_angle,15,2.4564010054073,0.0323453198062332,2.15999631077097,5.20602456197847,6.86042539969173,2.39311690048429,2.52018914923818
intercept_angle,16,2.49837581183291,0.0335311190974212,2.1913866579134,5.44443880822022,7.18439562461004,2.43233412928268,2.56534387786729
intercept_angle,17,2.46119737021248,0.0321597130044119,2.17602778986262,5.27008326273462,7.00146717163843,2.39789327666247,2.52876633977181
intercept_angle,18,2.46565888213921,0.031787117388692,2.19579153722811,5.14566912004327,6.95495957811266,2.40314870464011,2.52706757023942
intercept_angle,19,2.53315881710112,0.0331487831763366,2.21646750906489,5.49552312987857,7.29463200382397,2.47095491319892,2.5996326200596
intercept_angle,20,2.51037090912804,0.0334056917118696,2.21490116836966,5.44644366274308,7.02981889146338,2.44666552963062,2.57659467949375
intercept_angle,21,2.47493510822791,0.0320377393900317,2.18497112661301,5.30603982711621,6.94685269817937,2.41450913692255,2.53989455459925
intercept_angle,22,2.47972577559064,0.0330383197222879,2.19039043223486,5.47479451384171,7.19975289685675,2.41570618852777,2.54551311142337
intercept_angle,23,2.46946079226558,0.0329514272573409,2.18418188417371,5.34468008100602,6.89615596517364,2.40517900499197,2.53365717134518
intercept_angle,24,2.55382321417488,0.0336637260625721,2.25219315338867,5.44697827131353,7.25565778541356,2.48710117242537,2.61620660861606
intercept_angle,25,2.4694389011161,0.0316360011925184,2.20493295584655,5.07208053403791,6.67904398103989,2.40551997255225,2.53029879706023
intercept_angle,26,2.4584661084157,0.0322320263679779,2.17596624424704,5.13644510533663,6.83534548174623,2.39447262577085,2.52252551127334
intercept_angle,27,2.48369788110183,0.033828113725304,2.17953571522849,5.28515738394153,7.50847058340756,2.41640476388658,2.55157637713989
intercept_angle,28,2.46064706018691,0.0326765385662386,2.13500579349529,5.30142321726816,6.91116496128812,2.39508829362191,2.52402693097757
intercept_angle,29,2.4899497501409,0.0317365179744036,2.1922862213665,5.24893439780733,6.93816537534757,2.42632702690264,2.55119767303778
intercept_angle,30,2.49021380963648,0.0330633214480617,2.17555097394617,5.40670492526776,7.25458363089854,2.42700887257476,2.55513328578318
intercept_angle,31,2.46340065736567,0.033446689494984,2.1076195197399,5.44814896661948,7.28983322325033,2.39980666258542,2.52919769448104
intercept_angle,32,2.49758298161466,0.0330804966494022,2.19721763960044,5.42106811404679,7.14842626386409,2.43312640471333,2.56309817824498
intercept_angle,33,2.48617679931028,0.0324761310363245,2.18125827125472,5.30988117441134,6.84942837927045,2.42059474031268,2.55020446684774
intercept_angle,34,2.437929323972,0.0308498968473653,2.16322028304289,5.12405328040342,6.69975777926413,2.38093568288767,2.49957796737229
